C,H,S,mem,mem_byte,mem_KB
C 9,H0,S16,0x00032600,173568,169
C 9,H0,S17,0x00032800,174080,170
C 9,H0,S18,0x00032a00,174592,170
C 9,H1,S 1,0x00032c00,175104,171
C 9,H1,S 2,0x00032e00,175616,171
C 9,H1,S 3,0x00033000,176128,172
C 9,H1,S 4,0x00033200,176640,172
C 9,H1,S 5,0x00033400,177152,173
C 9,H1,S 6,0x00033600,177664,173
C 9,H1,S 7,0x00033800,178176,174
C 9,H1,S 8,0x00033a00,178688,174
C 9,H1,S 9,0x00033c00,179200,175
C 9,H1,S10,0x00033e00,179712,175
C 9,H1,S11,0x00034000,180224,176
C 9,H1,S12,0x00034200,180736,176
C 9,H1,S13,0x00034400,181248,177
C 9,H1,S14,0x00034600,181760,177
C 9,H1,S15,0x00034800,182272,178
C 9,H1,S16,0x00034a00,182784,178
C 9,H1,S17,0x00034c00,183296,179
C 9,H1,S18,0x00034e00,183808,179
C10,H0,S 1,0x00035000,184320,180
